slug,status,hasWebsite,lastVerified
a-c-e-engineering-college-autonomous,blank,no,
a-u-college-of-engg-for-women-self-finance,blank,no,
a-u-college-of-engg-self-finance-visakhapatnam,blank,no,
andhra-university-college-of-engineering-visakhapatnam,verified,yes,2026-05-16
aar-mahaveer-engineering-college,blank,no,
abdulkalam-inst-of-technology-and-sci,blank,no,
abr-college-of-engg-and-technology,blank,no,
acharya-college-of-engineering,blank,no,
adarsh-college-of-engineering,blank,no,
adi-kavi-nannaya-university-college-of-engg-self-finance,blank,no,
aditya-college-of-engineering,blank,no,
aditya-college-of-engineering-and-technology,blank,no,
aditya-college-of-pharmacy,blank,no,
aditya-institute-of-technology-and-mgmt,blank,no,
aditya-pharmacy-college,blank,no,
aditya-university,blank,no,
amity,verified,yes,2026-04-16
amreddy-memorial-coll-of-engineering,blank,no,
amrita,verified,yes,2026-04-16
amrita-sai-inst-of-science-and-technology,blank,no,
anantha-lakshmi-inst-of-technology-and-sci,blank,no,
andhra-engineering-college,blank,no,
andhra-loyola-instt-of-engg-and-technology,blank,no,
anil-neerukonda-institute-of-technology-and-sci,blank,no,
anna-university,verified,yes,2026-04-16
annamacharya-inst-of-tech-and-sci,blank,no,
annamacharya-inst-of-technology-and-sci,blank,no,
annamacharya-inst-of-technologyand-sciences,blank,no,
annamacharya-university,blank,no,
anu-bose-instt-of-technology,blank,no,
anurag-engineering-college-autonomous,blank,no,
anurag-university,verified,yes,2026-04-16
anurag-university-formerly-anurag-grp-of-instns-cvsr-coll-of-engg,blank,no,
apollo-university,blank,no,
arjun-college-of-technology-and-science,blank,no,
ashoka-womens-engineering-college,blank,no,
ashoka-womens-engineering-college-off-campus,blank,no,
au-college-of-engg-school-of-pharmacy,blank,no,
au-college-of-enggschool-of-pharmacy-self-finance,blank,no,
au-vizag,verified,yes,2026-04-16
audhisankara-college-of-engg-and-technology,blank,no,
auroras-scientific-and-technological-institute,blank,no,
avanthi-inst-of-engg-and-technology,blank,no,
avanthi-inst-of-engineering-and-technology,blank,no,
avanthi-institute-of-engg-and-technology,blank,no,
avanthis-research-and-technological-academy,blank,no,
